2004-08-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-08-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-08-31 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-09-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-10-31 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-11-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2004-12-31 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-29 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-30 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-01-31 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-08 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-09 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-10 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-11 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-12 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-13 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-14 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-15 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-16 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-17 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-18 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-19 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-20 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-21 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-22 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-23 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-24 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-25 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-26 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-27 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-02-28 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-01 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-02 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-03 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-04 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-05 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-06 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
2005-03-07 0.5045513654096229 0.5259959486833221 0.744535519125683 0.8251908396946565
